sample,time,code,chan
143016,69.83203125,131.0,0.0
143082,69.8642578125,131.0,2.0
143245,69.94384765625,98.0,-1.0
143365,70.00244140625,132.0,0.0
143461,70.04931640625,133.0,2.0
143933,70.27978515625,132.0,2.0
148198,72.3623046875,34.0,-1.0
149255,72.87841796875,35.0,-1.0
149845,73.16650390625,131.0,1.0
149904,73.1953125,131.0,3.0
149957,73.22119140625,162.0,-1.0
150445,73.45947265625,133.0,3.0
150457,73.46533203125,132.0,1.0
152229,74.33056640625,132.0,3.0
154888,75.62890625,34.0,-1.0
155945,76.14501953125,38.0,-1.0
156445,76.38916015625,131.0,3.0
156582,76.4560546875,131.0,1.0
156670,76.4990234375,162.0,-1.0
157064,76.69140625,133.0,3.0
157089,76.70361328125,132.0,1.0
158588,77.435546875,132.0,3.0
161612,78.912109375,34.0,-1.0
162670,79.4287109375,42.0,-1.0
162966,79.5732421875,133.0,3.0
162966,79.5732421875,131.0,3.0
163057,79.61767578125,131.0,0.0
163080,79.62890625,132.0,3.0
163181,79.67822265625,132.0,0.0
163217,79.69580078125,131.0,0.0
163247,79.71044921875,131.0,2.0
163363,79.76708984375,98.0,-1.0
163526,79.8466796875,132.0,0.0
163614,79.8896484375,133.0,2.0
164857,80.49658203125,132.0,2.0
168303,82.17919921875,34.0,-1.0
169360,82.6953125,42.0,-1.0
169779,82.89990234375,131.0,0.0
169875,82.94677734375,132.0,0.0
170076,83.044921875,131.0,2.0
170133,83.07275390625,131.0,0.0
170295,83.15185546875,98.0,-1.0
170440,83.22265625,132.0,0.0
170512,83.2578125,133.0,2.0
171168,83.578125,132.0,2.0
175231,85.56201171875,34.0,-1.0
176289,86.07861328125,42.0,-1.0
176609,86.23486328125,131.0,0.0
176736,86.296875,132.0,0.0
176812,86.333984375,131.0,0.0
176829,86.34228515625,131.0,2.0
176980,86.416015625,98.0,-1.0
177125,86.48681640625,132.0,0.0
177230,86.5380859375,133.0,2.0
178487,87.15185546875,132.0,2.0
181921,88.82861328125,34.0,-1.0
182979,89.34521484375,42.0,-1.0
183658,89.6767578125,131.0,2.0
183697,89.69580078125,131.0,0.0
183770,89.7314453125,131.0,3.0
183813,89.75244140625,98.0,-1.0
184084,89.884765625,132.0,0.0
184093,89.88916015625,133.0,2.0
184102,89.8935546875,133.0,3.0
184138,89.9111328125,132.0,3.0
185792,90.71875,132.0,2.0
188748,92.162109375,34.0,-1.0
189805,92.67822265625,42.0,-1.0
190345,92.94189453125,131.0,0.0
190362,92.9501953125,131.0,2.0
190431,92.98388671875,131.0,3.0
190491,93.01318359375,98.0,-1.0
190762,93.1455078125,132.0,0.0
190773,93.15087890625,133.0,2.0
190851,93.18896484375,133.0,3.0
190852,93.189453125,132.0,3.0
191315,93.41552734375,192.0,-1.0
192188,93.841796875,132.0,2.0
195438,95.4287109375,34.0,-1.0
196495,95.94482421875,38.0,-1.0
197122,96.2509765625,131.0,1.0
197187,96.28271484375,131.0,3.0
197210,96.2939453125,162.0,-1.0
197661,96.51416015625,133.0,3.0
197730,96.5478515625,132.0,1.0
198034,96.6962890625,192.0,-1.0
199088,97.2109375,132.0,3.0
202162,98.7119140625,34.0,-1.0
203219,99.22802734375,35.0,-1.0
203757,99.49072265625,131.0,1.0
203841,99.53173828125,131.0,3.0
203878,99.5498046875,162.0,-1.0
204179,99.69677734375,132.0,1.0
204197,99.70556640625,133.0,3.0
204702,99.9521484375,192.0,-1.0
205047,100.12060546875,132.0,3.0
208818,101.9619140625,34.0,-1.0
209875,102.47802734375,42.0,-1.0
210560,102.8125,131.0,0.0
210647,102.85498046875,133.0,3.0
210647,102.85498046875,131.0,3.0
210662,102.8623046875,131.0,2.0
210761,102.91064453125,98.0,-1.0
210866,102.9619140625,132.0,3.0
211015,103.03466796875,132.0,0.0
211019,103.03662109375,133.0,2.0
211741,103.38916015625,132.0,2.0
215713,105.32861328125,34.0,-1.0
216770,105.8447265625,50.0,-1.0
217522,106.2119140625,131.0,2.0
217525,106.21337890625,131.0,0.0
217651,106.27490234375,98.0,-1.0
217811,106.35302734375,132.0,0.0
217882,106.3876953125,133.0,2.0
218445,106.66259765625,132.0,2.0
222574,108.6787109375,34.0,-1.0
223631,109.19482421875,38.0,-1.0
224154,109.4501953125,131.0,1.0
224207,109.47607421875,131.0,3.0
224250,109.4970703125,162.0,-1.0
224552,109.64453125,133.0,3.0
224552,109.64453125,132.0,1.0
225074,109.8994140625,192.0,-1.0
225219,109.97021484375,132.0,3.0
229195,111.91162109375,34.0,-1.0
230252,112.427734375,35.0,-1.0
231015,112.80029296875,131.0,1.0
231057,112.82080078125,131.0,3.0
231127,112.85498046875,162.0,-1.0
231498,113.0361328125,133.0,3.0
231661,113.11572265625,132.0,1.0
232459,113.50537109375,132.0,3.0
236056,115.26171875,34.0,-1.0
237113,115.77783203125,35.0,-1.0
237703,116.06591796875,131.0,1.0
237771,116.09912109375,131.0,3.0
237802,116.1142578125,162.0,-1.0
238114,116.2666015625,132.0,1.0
238133,116.27587890625,133.0,3.0
238572,116.490234375,132.0,3.0
238626,116.5166015625,192.0,-1.0
242746,118.5283203125,34.0,-1.0
243803,119.04443359375,38.0,-1.0
244341,119.30712890625,131.0,1.0
244415,119.34326171875,131.0,3.0
244459,119.36474609375,162.0,-1.0
244791,119.52685546875,133.0,3.0
244993,119.62548828125,132.0,1.0
245283,119.76708984375,192.0,-1.0
245695,119.96826171875,132.0,3.0
249402,121.7783203125,34.0,-1.0
250459,122.29443359375,35.0,-1.0
251125,122.61962890625,131.0,1.0
251145,122.62939453125,131.0,3.0
251224,122.66796875,162.0,-1.0
251509,122.80712890625,132.0,1.0
251540,122.822265625,133.0,3.0
251989,123.04150390625,132.0,3.0
252048,123.0703125,192.0,-1.0
256160,125.078125,34.0,-1.0
257217,125.59423828125,35.0,-1.0
257925,125.93994140625,131.0,1.0
257934,125.9443359375,131.0,3.0
258040,125.99609375,162.0,-1.0
258279,126.11279296875,132.0,1.0
258315,126.13037109375,133.0,3.0
258865,126.39892578125,192.0,-1.0
259226,126.5751953125,132.0,3.0
262987,128.41162109375,34.0,-1.0
264044,128.927734375,35.0,-1.0
264354,129.0791015625,131.0,3.0
264684,129.240234375,131.0,1.0
264844,129.318359375,162.0,-1.0
264996,129.392578125,132.0,1.0
265089,129.43798828125,133.0,3.0
265505,129.64111328125,132.0,3.0
265668,129.720703125,192.0,-1.0
269779,131.72802734375,34.0,-1.0
270836,132.244140625,35.0,-1.0
271441,132.53955078125,131.0,1.0
271499,132.56787109375,131.0,3.0
271576,132.60546875,162.0,-1.0
271742,132.6865234375,132.0,1.0
271801,132.71533203125,133.0,3.0
272401,133.00830078125,192.0,-1.0
273153,133.37548828125,132.0,3.0
276503,135.01123046875,34.0,-1.0
277560,135.52734375,42.0,-1.0
278017,135.75048828125,131.0,0.0
278090,135.7861328125,131.0,2.0
278214,135.8466796875,98.0,-1.0
278387,135.93115234375,132.0,0.0
278400,135.9375,133.0,2.0
279039,136.24951171875,192.0,-1.0
279481,136.46533203125,132.0,2.0
283159,138.26123046875,34.0,-1.0
284216,138.77734375,38.0,-1.0
284793,139.05908203125,131.0,1.0
284828,139.076171875,131.0,3.0
284909,139.11572265625,162.0,-1.0
285003,139.16162109375,132.0,1.0
285097,139.20751953125,133.0,3.0
285536,139.421875,132.0,3.0
285733,139.51806640625,192.0,-1.0
289849,141.52783203125,34.0,-1.0
290906,142.0439453125,38.0,-1.0
291324,142.248046875,131.0,0.0
291436,142.302734375,132.0,0.0
291606,142.3857421875,131.0,1.0
291650,142.4072265625,131.0,3.0
291712,142.4375,162.0,-1.0
291860,142.509765625,132.0,1.0
291886,142.5224609375,133.0,3.0
292536,142.83984375,192.0,-1.0
293977,143.54345703125,132.0,3.0
296642,144.8447265625,34.0,-1.0
297699,145.36083984375,42.0,-1.0
298249,145.62939453125,131.0,0.0
298299,145.65380859375,131.0,2.0
298426,145.7158203125,98.0,-1.0
298525,145.76416015625,132.0,0.0
298596,145.798828125,133.0,2.0
299250,146.1181640625,192.0,-1.0
299846,146.4091796875,132.0,2.0
303366,148.1279296875,34.0,-1.0
304423,148.64404296875,50.0,-1.0
305057,148.95361328125,131.0,0.0
305114,148.9814453125,131.0,2.0
305252,149.048828125,98.0,-1.0
305348,149.095703125,132.0,0.0
305452,149.146484375,133.0,2.0
305981,149.40478515625,132.0,2.0
306077,149.45166015625,192.0,-1.0
310192,151.4609375,34.0,-1.0
311250,151.9775390625,35.0,-1.0
311918,152.3037109375,131.0,1.0
311974,152.3310546875,131.0,3.0
312042,152.3642578125,162.0,-1.0
312185,152.43408203125,132.0,1.0
312227,152.45458984375,133.0,3.0
312635,152.65380859375,132.0,3.0
312866,152.7666015625,192.0,-1.0
316985,154.77783203125,34.0,-1.0
318042,155.2939453125,42.0,-1.0
318525,155.52978515625,131.0,0.0
318558,155.5458984375,132.0,0.0
318636,155.583984375,131.0,0.0
318712,155.62109375,131.0,2.0
318828,155.677734375,98.0,-1.0
319007,155.76513671875,133.0,2.0
319046,155.7841796875,132.0,0.0
319652,156.080078125,192.0,-1.0
319937,156.21923828125,132.0,2.0
323777,158.09423828125,34.0,-1.0
324834,158.6103515625,38.0,-1.0
325559,158.96435546875,131.0,1.0
325627,158.99755859375,131.0,3.0
325682,159.0244140625,162.0,-1.0
325839,159.10107421875,132.0,1.0
325904,159.1328125,133.0,3.0
326429,159.38916015625,132.0,3.0
330604,161.427734375,34.0,-1.0
331661,161.94384765625,38.0,-1.0
332166,162.1904296875,131.0,1.0
332218,162.2158203125,131.0,3.0
332282,162.2470703125,162.0,-1.0
332366,162.2880859375,132.0,1.0
332448,162.328125,133.0,3.0
333054,162.6240234375,132.0,3.0
333107,162.64990234375,192.0,-1.0
337226,164.6611328125,34.0,-1.0
338283,165.17724609375,38.0,-1.0
338696,165.37890625,131.0,1.0
338742,165.4013671875,131.0,3.0
338813,165.43603515625,162.0,-1.0
338926,165.4912109375,132.0,1.0
339006,165.5302734375,133.0,3.0
339580,165.810546875,132.0,3.0
339637,165.83837890625,192.0,-1.0
343745,167.84423828125,34.0,-1.0
344802,168.3603515625,50.0,-1.0
345097,168.50439453125,131.0,1.0
345149,168.52978515625,131.0,3.0
345277,168.59228515625,132.0,1.0
345281,168.59423828125,162.0,-1.0
345361,168.63330078125,133.0,3.0
347297,169.57861328125,132.0,3.0
350230,171.0107421875,34.0,-1.0
351287,171.52685546875,42.0,-1.0
351738,171.7470703125,131.0,0.0
351822,171.7880859375,131.0,2.0
351922,171.8369140625,131.0,3.0
351972,171.861328125,98.0,-1.0
352051,171.89990234375,132.0,0.0
352098,171.9228515625,133.0,3.0
352135,171.94091796875,132.0,3.0
352153,171.94970703125,133.0,2.0
352528,172.1328125,132.0,2.0
